id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
38,It Was You,12 Stones,rock,chill,0.826,174,0.456,0.359,0.005
39,Lerlene,12 Stones,rock,chill,0.652,150,0.346,0.419,0.376
40,Let Go,12 Stones,rock,chill,0.724,153,0.435,0.505,0.012
41,Lie To Me,12 Stones,rock,chill,0.908,161,0.454,0.449,0.005
42,Lifeless,12 Stones,rock,intense,0.901,125,0.438,0.51,0.001
43,My Life,12 Stones,rock,happy,0.906,162,0.69,0.458,0.051
44,Nothing To Say,12 Stones,rock,chill,0.57,134,0.288,0.298,0.544
45,Only Human,12 Stones,rock,chill,0.872,140,0.556,0.48,0.002
46,Open Your Eyes,12 Stones,rock,uplifting,0.923,119,0.649,0.573,0.049
47,Photograph,12 Stones,rock,intense,0.882,178,0.226,0.345,0.002
48,Pretty Poison,12 Stones,rock,intense,0.95,178,0.338,0.349,0.002
49,Psycho,12 Stones,rock,chill,0.953,144,0.576,0.491,0.0
50,Running Out Of Pain,12 Stones,rock,chill,0.779,153,0.223,0.46,0.011
51,Save Yourself,12 Stones,rock,chill,0.838,120,0.469,0.376,0.001
52,Shadows,12 Stones,rock,intense,0.946,177,0.277,0.34,0.0
53,Shine On Me,12 Stones,rock,intense,0.884,152,0.331,0.388,0.001
54,Someone Like You,12 Stones,rock,chill,0.917,185,0.501,0.327,0.001
55,Soulfire,12 Stones,rock,intense,0.913,168,0.245,0.547,0.03
56,Speak Your Mind,12 Stones,rock,happy,0.915,165,0.652,0.382,0.0
57,Stay,12 Stones,rock,intense,0.824,157,0.368,0.451,0.007
58,That Changes Everything,12 Stones,rock,chill,0.793,178,0.473,0.285,0.005
59,The Killer,12 Stones,rock,happy,0.899,165,0.705,0.411,0.001
60,The Last Song,12 Stones,rock,chill,0.917,166,0.584,0.422,0.002
61,The One Thing,12 Stones,rock,happy,0.917,128,0.668,0.529,0.004
62,The Way I Feel,12 Stones,rock,chill,0.832,158,0.509,0.493,0.012
63,This Dark Day,12 Stones,rock,chill,0.865,170,0.485,0.232,0.004
64,Tomorrow Comes Today,12 Stones,rock,intense,0.889,121,0.114,0.51,0.001
65,Voodoo Doll,12 Stones,rock,uplifting,0.761,113,0.656,0.518,0.032
66,Waiting For Yesterday,12 Stones,rock,chill,0.561,157,0.285,0.255,0.123
67,We Are One,12 Stones,rock,intense,0.935,141,0.265,0.4,0.0
68,Welcome To The End,12 Stones,rock,intense,0.972,172,0.276,0.398,0.001
69,World So Cold,12 Stones,rock,chill,0.689,178,0.398,0.266,0.472
70,Worlds Collide,12 Stones,rock,chill,0.941,138,0.577,0.553,0.001
71,Crack,2 Chainz,hip-hop,energetic,0.643,152,0.093,0.861,0.006
72,El Chapo Jr,2 Chainz,hip-hop,energetic,0.69,147,0.508,0.952,0.059
73,Grey Area,2 Chainz,hip-hop,energetic,0.768,146,0.683,0.91,0.068
74,Mfn Right,2 Chainz,hip-hop,sad,0.327,149,0.236,0.907,0.015
75,Money In The Way,2 Chainz,hip-hop,energetic,0.794,114,0.59,0.801,0.238
76,Neighbors Know My Name,2 Chainz,hip-hop,uplifting,0.424,152,0.685,0.89,0.238
77,Riot,2 Chainz,hip-hop,energetic,0.675,143,0.521,0.936,0.055
78,Spend It,2 Chainz,hip-hop,energetic,0.668,148,0.664,0.82,0.042
79,U Da Realest,2 Chainz,hip-hop,energetic,0.736,144,0.585,0.734,0.09
80,Used 2,2 Chainz,hip-hop,chill,0.92,174,0.552,0.678,0.018
81,4L,21 Savage,hip-hop,moody,0.41,111,0.071,0.891,0.001
82,All My Friends,21 Savage,hip-hop,energetic,0.621,143,0.208,0.723,0.171
83,Asmr,21 Savage,hip-hop,chill,0.544,168,0.163,0.852,0.04
84,Bank Account,21 Savage,hip-hop,sad,0.347,108,0.38,0.897,0.015
85,Break Da Law,21 Savage,hip-hop,chill,0.576,150,0.363,0.917,0.049
86,Gun Smoke,21 Savage,hip-hop,chill,0.461,115,0.329,0.82,0.001
87,Immortal,21 Savage,hip-hop,happy,0.871,177,0.67,0.752,0.008
88,Letter 2 My Momma,21 Savage,hip-hop,energetic,0.609,111,0.974,0.876,0.053
89,Monster,21 Savage,hip-hop,energetic,0.608,145,0.226,0.903,0.158
90,Numb,21 Savage,hip-hop,moody,0.436,112,0.469,0.851,0.044
91,Out For The Night,21 Savage,hip-hop,energetic,0.696,170,0.413,0.853,0.001
92,Pad Lock,21 Savage,hip-hop,uplifting,0.551,143,0.807,0.973,0.019
93,Rip Luv,21 Savage,hip-hop,moody,0.399,176,0.066,0.639,0.105
94,Spiral,21 Savage,hip-hop,energetic,0.66,116,0.131,0.826,0.002
95,Steppin On Niggas,21 Savage,hip-hop,energetic,0.636,117,0.807,0.861,0.001
96,Baby I Miss You,2Ne1,rock,energetic,0.617,125,0.252,0.8,0.165
97,Come Back Home,2Ne1,rock,intense,0.841,155,0.148,0.58,0.155
98,Crush,2Ne1,rock,energetic,0.911,143,0.562,0.721,0.568
99,Like A Virgin,2Ne1,rock,happy,0.968,140,0.987,0.645,0.12
100,Pretty Boy,2Ne1,rock,happy,0.894,136,0.737,0.868,0.109
101,Scream,2Ne1,rock,chill,0.748,141,0.498,0.699,0.007
102,Away From The Sun,3 Doors Down,rock,chill,0.573,144,0.287,0.488,0.004
103,Back To Me,3 Doors Down,rock,chill,0.736,153,0.406,0.505,0.008
104,Be Like That,3 Doors Down,rock,intense,0.831,121,0.366,0.527,0.007
105,Be Somebody,3 Doors Down,rock,chill,0.687,149,0.352,0.6,0.023
106,Behind Those Eyes,3 Doors Down,rock,chill,0.658,150,0.208,0.58,0.04
107,Believer,3 Doors Down,rock,chill,0.993,171,0.544,0.397,0.003
108,By My Side,3 Doors Down,rock,chill,0.95,151,0.506,0.468,0.002
109,Changes,3 Doors Down,rock,chill,0.735,162,0.21,0.274,0.001
110,Dangerous Game,3 Doors Down,rock,chill,0.83,136,0.488,0.615,0.001
111,Down Poison,3 Doors Down,rock,chill,0.902,168,0.603,0.384,0.016
112,Duck And Run,3 Doors Down,rock,happy,0.951,116,0.672,0.448,0.002
113,Every Time You Go,3 Doors Down,rock,intense,0.928,140,0.408,0.502,0.003
114,Give It To Me,3 Doors Down,rock,intense,0.876,159,0.434,0.505,0.009
115,Going Down In Flames,3 Doors Down,rock,chill,0.879,144,0.508,0.478,0.0
116,Goodbyes,3 Doors Down,rock,intense,0.869,147,0.419,0.487,0.041
117,Heaven,3 Doors Down,rock,chill,0.75,153,0.295,0.501,0.123
118,Here By Me,3 Doors Down,rock,chill,0.608,135,0.369,0.599,0.554
119,Here Without You,3 Doors Down,rock,chill,0.671,152,0.16,0.476,0.008
120,I Feel You,3 Doors Down,rock,chill,0.864,157,0.457,0.48,0.002
121,In The Dark,3 Doors Down,rock,happy,0.951,127,0.677,0.603,0.023
122,Inside Of Me,3 Doors Down,rock,chill,0.759,133,0.261,0.283,0.004
123,Kryptonite,3 Doors Down,rock,chill,0.943,123,0.487,0.561,0.002
124,Let Me Be Myself,3 Doors Down,rock,chill,0.676,158,0.498,0.503,0.005
125,Let Me Go,3 Doors Down,rock,chill,0.864,119,0.496,0.487,0.018
126,Life Of My Own,3 Doors Down,rock,chill,0.899,145,0.516,0.534,0.0
127,Living In Your Hell,3 Doors Down,rock,chill,0.962,152,0.62,0.561,0.004
128,Loser,3 Doors Down,rock,intense,0.928,154,0.374,0.398,0.008
129,Love Is A Lie,3 Doors Down,rock,happy,0.93,149,0.802,0.577,0.003
130,Not Enough,3 Doors Down,rock,happy,0.894,146,0.814,0.59,0.001
131,One Light,3 Doors Down,rock,intense,0.977,168,0.438,0.377,0.001
132,Pages,3 Doors Down,rock,intense,0.827,153,0.323,0.455,0.014
133,Pieces Of Me,3 Doors Down,rock,chill,0.583,153,0.269,0.534,0.041
134,Right Where I Belong,3 Doors Down,rock,intense,0.97,167,0.387,0.362,0.002
135,Round And Round,3 Doors Down,rock,chill,0.939,143,0.456,0.633,0.006
136,Runaway,3 Doors Down,rock,uplifting,0.919,143,0.63,0.58,0.001
137,Running Out Of Days,3 Doors Down,rock,chill,0.778,161,0.54,0.5,0.0
138,Smack,3 Doors Down,rock,happy,0.905,142,0.747,0.496,0.01
139,So I Need You,3 Doors Down,rock,happy,0.911,152,0.69,0.47,0.003
140,That Smell,3 Doors Down,rock,intense,0.968,137,0.344,0.449,0.0
141,The Broken,3 Doors Down,rock,happy,0.953,149,0.776,0.569,0.007
142,The Real Life,3 Doors Down,rock,chill,0.648,151,0.566,0.659,0.216
143,These Days,3 Doors Down,rock,intense,0.827,140,0.421,0.595,0.0
144,This Time,3 Doors Down,rock,chill,0.612,130,0.044,0.507,0.004
145,Ticket To Heaven,3 Doors Down,rock,intense,0.842,129,0.352,0.582,0.007
146,Time Of My Life,3 Doors Down,rock,happy,0.936,132,0.661,0.534,0.01
147,Train,3 Doors Down,rock,chill,0.886,168,0.589,0.452,0.002
148,Us And The Night,3 Doors Down,rock,uplifting,0.909,136,0.624,0.539,0.001
149,Your Arms Feel Like Home,3 Doors Down,rock,chill,0.712,136,0.175,0.555,0.007
150,All Mixed Up,311,rock,energetic,0.691,119,0.685,0.773,0.005
151,Amber,311,rock,uplifting,0.714,166,0.744,0.673,0.118
152,And A Ways To Go,311,rock,uplifting,0.894,143,0.624,0.604,0.405
153,Beautiful Disaster,311,rock,uplifting,0.698,167,0.684,0.582,0.0
154,Better Space,311,rock,intense,0.867,187,0.251,0.295,0.003
155,Beyond The Gray Sky,311,rock,moody,0.325,136,0.462,0.802,0.009
156,Bomb The Town,311,rock,happy,0.836,167,0.689,0.554,0.008
157,Boom Shanka,311,rock,happy,0.921,127,0.785,0.738,0.024
158,Born To Live,311,rock,happy,0.92,129,0.904,0.666,0.006
159,Champagne,311,rock,uplifting,0.644,171,0.688,0.67,0.297
160,Charge It Up,311,rock,chill,0.953,166,0.574,0.326,0.004
161,Come Original,311,rock,happy,0.97,120,0.805,0.665,0.011
162,Count Me In,311,rock,happy,0.895,121,0.879,0.688,0.117
163,Crack The Code,311,rock,energetic,0.757,121,0.86,0.734,0.016
164,Crossfire,311,rock,intense,0.973,168,0.26,0.461,0.002
165,Daisy Cutter,311,rock,happy,0.817,122,0.74,0.7,0.007
166,Dancehall,311,rock,happy,0.922,173,0.881,0.628,0.026
167,Do You Right,311,rock,uplifting,0.956,130,0.622,0.597,0.003
168,Dodging Raindrops,311,rock,chill,0.76,108,0.538,0.631,0.036
169,Down,311,rock,chill,0.937,172,0.586,0.446,0.0
170,Dream State,311,rock,intense,0.881,147,0.35,0.453,0.0
171,Ebb And Flow,311,rock,uplifting,0.741,178,0.767,0.542,0.012
172,Existential Hero,311,rock,intense,0.836,119,0.279,0.558,0.008
173,Firewater,311,rock,intense,0.94,169,0.286,0.504,0.004
174,First Dimension,311,rock,happy,0.928,184,0.857,0.441,0.002
175,First Straw,311,rock,uplifting,0.622,159,0.798,0.709,0.007
176,Five Of Everything,311,rock,happy,0.816,123,0.904,0.651,0.029
177,Flowing,311,rock,intense,0.939,140,0.194,0.535,0.002
178,Freak Out,311,rock,energetic,0.844,121,0.607,0.723,0.005
179,Friday Afternoon,311,rock,moody,0.447,129,0.382,0.466,0.073
180,Frolic Room,311,rock,happy,0.833,176,0.774,0.564,0.001
181,From Chaos,311,rock,uplifting,0.882,173,0.649,0.494,0.008
182,Full Ride,311,rock,happy,0.811,167,0.782,0.363,0.001
183,Get Down,311,rock,intense,0.811,130,0.286,0.637,0.034
184,Getting Through To Her,311,rock,chill,0.841,163,0.594,0.556,0.001
185,Give Me A Call,311,rock,uplifting,0.692,168,0.667,0.668,0.005
186,Golden Sunlight,311,rock,chill,0.829,169,0.533,0.466,0.011
187,Good Feeling,311,rock,intense,0.899,124,0.441,0.697,0.001
188,Hey You,311,rock,intense,0.901,167,0.351,0.546,0.009
189,Hive,311,rock,intense,0.935,129,0.42,0.721,0.013
190,Homebrew,311,rock,chill,0.931,125,0.48,0.677,0.018
191,Hostile Apostle,311,rock,uplifting,0.859,112,0.647,0.599,0.0
192,How Long Has It Been,311,rock,uplifting,0.727,164,0.809,0.567,0.001
193,I Like The Way,311,rock,uplifting,0.856,167,0.646,0.657,0.032
194,I Told Myself,311,rock,intense,0.889,138,0.341,0.656,0.0
195,India Ink,311,rock,intense,0.933,173,0.342,0.47,0.002
196,Jackpot,311,rock,intense,0.935,129,0.311,0.658,0.01
197,Juan Bond,311,rock,happy,0.797,131,0.801,0.601,0.023
198,Little Brother,311,rock,energetic,0.824,148,0.511,0.753,0.0
199,Long For The Flowers,311,rock,happy,0.848,169,0.721,0.541,0.0
200,Love Song,311,rock,chill,0.667,149,0.578,0.626,0.017
201,Lucid Dreams,311,rock,chill,0.727,168,0.419,0.576,0.001
202,Made In The Shade,311,rock,intense,0.81,121,0.086,0.752,0.203
203,Make It Rough,311,rock,uplifting,0.679,125,0.945,0.714,0.019
204,Mix It Up,311,rock,happy,0.903,155,0.801,0.681,0.018
205,My Heart Sings,311,rock,chill,0.746,159,0.446,0.588,0.058
206,Never Ending Summer,311,rock,intense,0.963,176,0.366,0.462,0.005
207,Omaha Stylee,311,rock,happy,0.882,158,0.802,0.627,0.007
208,Other Side Of Things,311,rock,happy,0.895,121,0.709,0.65,0.0
209,Prisoner,311,rock,uplifting,0.637,168,0.823,0.632,0.018
210,Purpose,311,rock,uplifting,0.588,161,0.883,0.642,0.0
211,Reconsider Everything,311,rock,intense,0.927,183,0.401,0.459,0.0
212,Revelation Of The Year,311,rock,uplifting,0.623,151,0.923,0.702,0.058
213,Rock On,311,rock,intense,0.878,163,0.391,0.442,0.018
214,Rolling Through,311,rock,happy,0.857,174,0.707,0.45,0.002
215,Rub A Dub,311,rock,uplifting,0.529,119,0.67,0.783,0.138
216,Same Mistake Twice,311,rock,chill,0.942,140,0.562,0.602,0.0
217,Sand Dollars,311,rock,chill,0.603,170,0.6,0.664,0.028
218,Seems Uncertain,311,rock,uplifting,0.528,121,0.631,0.694,0.031
219,Showdown,311,rock,chill,0.624,136,0.401,0.691,0.017
220,Sick Tight,311,rock,chill,0.941,132,0.588,0.641,0.0
221,Simple True,311,rock,uplifting,0.892,127,0.645,0.682,0.012
222,Solar Flare,311,rock,chill,0.806,134,0.474,0.662,0.0
223,Something Out Of Nothing,311,rock,chill,0.959,183,0.542,0.499,0.005
224,Sometimes Jacks Rule The Realm,311,rock,chill,0.6,142,0.356,0.414,0.067
225,Space And Time,311,rock,happy,0.918,177,0.861,0.486,0.103
226,Speak Easy,311,rock,chill,0.856,171,0.62,0.632,0.022
227,Stealing Happy Hours,311,rock,uplifting,0.668,121,0.793,0.681,0.054
228,Still Dreaming,311,rock,intense,0.887,149,0.353,0.539,0.0
229,Summer Of Love,311,rock,chill,0.608,122,0.502,0.648,0.005
230,Sun Come Through,311,rock,happy,0.883,120,0.775,0.605,0.007
231,Sunset In July,311,rock,happy,0.847,171,0.698,0.509,0.033
232,Thank Your Lucky Stars,311,rock,happy,0.787,168,0.831,0.601,0.0
233,The Call,311,rock,intense,0.86,131,0.376,0.549,0.004
234,The Great Divide,311,rock,chill,0.787,124,0.512,0.696,0.02
235,Time Bomb,311,rock,happy,0.923,174,0.913,0.603,0.165
236,Too Much To Think,311,rock,happy,0.901,154,0.877,0.591,0.032
237,Too Much Too Fast,311,rock,chill,0.889,135,0.613,0.635,0.047
238,Tranquility,311,rock,chill,0.66,112,0.148,0.379,0.039
239,Transistor,311,rock,uplifting,0.683,107,0.808,0.345,0.001
240,Trouble,311,rock,uplifting,0.767,152,0.778,0.636,0.131
241,Two Drops In The Ocean,311,rock,uplifting,0.72,163,0.664,0.568,0.144
242,Uncalm,311,rock,chill,0.844,168,0.565,0.57,0.003
243,Use Of Time,311,rock,chill,0.451,125,0.121,0.594,0.007
244,Waiting,311,rock,happy,0.789,117,0.895,0.815,0.024
245,Wake Your Mind Up,311,rock,energetic,0.894,131,0.583,0.721,0.002
246,We Do It Like This,311,rock,happy,0.935,175,0.687,0.589,0.008
247,Weightless,311,rock,happy,0.95,160,0.736,0.538,0.051
248,Whiskey And Wine,311,rock,uplifting,0.747,152,0.776,0.63,0.001
249,Wild Nights,311,rock,happy,0.95,127,0.815,0.63,0.025
250,You Get Worked,311,rock,chill,0.835,191,0.59,0.485,0.002
251,Absent Are The Saints,36 Crazyfists,metal,intense,0.976,120,0.248,0.382,0.0
252,All I Am,36 Crazyfists,metal,chill,0.929,120,0.518,0.317,0.0
253,An Agreement Called Forever,36 Crazyfists,metal,intense,0.991,120,0.143,0.426,0.0
254,Anchors,36 Crazyfists,metal,intense,0.98,155,0.087,0.469,0.0
255,At The End Of August,36 Crazyfists,metal,intense,0.964,122,0.342,0.466,0.001
256,Aurora,36 Crazyfists,metal,chill,0.942,151,0.604,0.313,0.0
257,Between The Anchor And The Air,36 Crazyfists,metal,happy,0.909,117,0.707,0.581,0.0
258,Bloodwork,36 Crazyfists,metal,happy,0.926,162,0.852,0.594,0.001
259,Bury Me Where I Fall,36 Crazyfists,metal,intense,0.983,126,0.385,0.399,0.0
260,Caving In Spirals,36 Crazyfists,metal,intense,0.9,136,0.252,0.615,0.004
261,Ceramic,36 Crazyfists,metal,intense,0.993,130,0.117,0.35,0.0
262,Chalk White,36 Crazyfists,metal,intense,0.984,119,0.045,0.37,0.0
263,Circle The Drain,36 Crazyfists,metal,happy,0.901,138,0.697,0.401,0.0
264,Clear The Coast,36 Crazyfists,metal,intense,0.992,155,0.326,0.508,0.0
265,Crutch,36 Crazyfists,metal,intense,0.911,148,0.094,0.303,0.004
266,Cure Eclipse,36 Crazyfists,metal,chill,0.933,119,0.542,0.27,0.0
267,Death Renames The Light,36 Crazyfists,metal,uplifting,0.956,125,0.622,0.451,0.0
268,Destroy The Map,36 Crazyfists,metal,happy,0.916,176,0.704,0.524,0.002
269,Digging The Grave,36 Crazyfists,metal,chill,0.944,168,0.618,0.475,0.0
270,Dislocate,36 Crazyfists,metal,intense,0.98,113,0.276,0.359,0.0
271,Eightminutesupsidedown,36 Crazyfists,metal,intense,0.99,125,0.122,0.344,0.0
272,Elysium,36 Crazyfists,metal,happy,0.97,157,0.776,0.406,0.001
273,Felt Through A Phone Line,36 Crazyfists,metal,chill,0.925,159,0.475,0.5,0.003
274,Gathering Bones,36 Crazyfists,metal,intense,0.953,154,0.216,0.484,0.0
275,In The Midnights,36 Crazyfists,metal,intense,0.973,162,0.107,0.28,0.0
276,Installing The Catheter,36 Crazyfists,metal,happy,0.95,173,0.672,0.426,0.006
277,Kenai,36 Crazyfists,metal,intense,0.957,124,0.431,0.682,0.004
278,Marrow,36 Crazyfists,metal,intense,0.819,146,0.333,0.562,0.031
279,Mercy And Grace,36 Crazyfists,metal,chill,0.967,178,0.536,0.203,0.0
280,Midnight Swim,36 Crazyfists,metal,uplifting,0.965,122,0.633,0.552,0.001
281,Mother Mary,36 Crazyfists,metal,chill,0.969,175,0.494,0.419,0.0
282,Northern November,36 Crazyfists,metal,intense,0.924,134,0.214,0.611,0.0
283,On Any Given Night,36 Crazyfists,metal,chill,0.936,118,0.604,0.497,0.0
284,One More Word,36 Crazyfists,metal,intense,0.984,118,0.143,0.274,0.0
285,Reviver,36 Crazyfists,metal,intense,0.994,120,0.219,0.511,0.0
286,Skin And Atmosphere,36 Crazyfists,metal,happy,0.938,158,0.732,0.554,0.001
287,Slit Wrist Theory,36 Crazyfists,metal,intense,0.945,178,0.376,0.293,0.003
288,Song For The Fisherman,36 Crazyfists,metal,moody,0.419,169,0.458,0.622,0.084
289,The All Night Lights,36 Crazyfists,metal,intense,0.949,139,0.153,0.559,0.004
290,The Back Harlow Road,36 Crazyfists,metal,intense,0.956,167,0.269,0.49,0.004
291,The Deserter,36 Crazyfists,metal,intense,0.978,128,0.441,0.333,0.0
292,The Heart And The Shape,36 Crazyfists,metal,happy,0.973,125,0.82,0.612,0.001
293,The Tide And Its Takers,36 Crazyfists,metal,sad,0.317,143,0.128,0.554,0.359
294,Translator,36 Crazyfists,metal,intense,0.98,152,0.292,0.434,0.0
295,Trenches,36 Crazyfists,metal,happy,0.984,184,0.656,0.445,0.0
296,Turns To Ashes,36 Crazyfists,metal,intense,0.986,117,0.142,0.32,0.0
297,Two Months From A Year,36 Crazyfists,metal,intense,0.985,118,0.068,0.263,0.001
298,Vast And Vague,36 Crazyfists,metal,chill,0.941,132,0.557,0.375,0.001
299,Waiting On A War,36 Crazyfists,metal,intense,0.897,174,0.149,0.281,0.008
300,Waterhaul,36 Crazyfists,metal,moody,0.396,124,0.199,0.597,0.055
301,Waterhaul Ii,36 Crazyfists,metal,chill,0.543,147,0.141,0.242,0.007
302,We Cannot Deny,36 Crazyfists,metal,intense,0.974,117,0.334,0.463,0.0
303,We Gave It Hell,36 Crazyfists,metal,intense,0.985,174,0.426,0.42,0.001
304,When Distance Is The Closest Reminder,36 Crazyfists,metal,chill,0.973,176,0.511,0.456,0.0
305,Whitewater,36 Crazyfists,metal,intense,0.971,132,0.41,0.568,0.0
306,With Nothing Underneath,36 Crazyfists,metal,intense,0.96,129,0.429,0.586,0.001
307,Workhorse,36 Crazyfists,metal,intense,0.902,168,0.337,0.503,0.0
308,4Minutes Left,4Minute,electronic,energetic,0.656,124,0.183,0.731,0.004
309,Already Gone,4Minute,electronic,happy,0.865,145,0.913,0.792,0.03
310,Dream Racer,4Minute,electronic,happy,0.941,141,0.797,0.691,0.027
311,First,4Minute,electronic,uplifting,0.941,143,0.634,0.718,0.031
312,For Muzik,4Minute,electronic,chill,0.927,155,0.451,0.698,0.043
313,Get On The Floor,4Minute,electronic,happy,0.897,130,0.762,0.832,0.052
314,Highlight,4Minute,electronic,happy,0.908,145,0.721,0.747,0.005
315,Hot Issue,4Minute,electronic,intense,0.834,141,0.368,0.866,0.001
316,Huh,4Minute,electronic,happy,0.857,138,0.701,0.852,0.05
317,Muzik,4Minute,electronic,happy,0.905,140,0.932,0.791,0.074
318,No Love,4Minute,electronic,chill,0.59,120,0.374,0.743,0.565
319,Ready Go,4Minute,electronic,chill,0.967,145,0.512,0.655,0.003
320,Show Me,4Minute,electronic,happy,0.878,130,0.765,0.773,0.078
321,What A Girl Wants,4Minute,electronic,energetic,0.811,127,0.527,0.846,0.056
322,Why,4Minute,electronic,happy,0.94,143,0.907,0.786,0.018
323,You Know,4Minute,electronic,happy,0.842,144,0.739,0.714,0.056
324,18,5 Seconds Of Summer,rock,intense,0.959,162,0.356,0.465,0.0
325,2011,5 Seconds Of Summer,rock,intense,0.84,160,0.441,0.579,0.024
326,American Idiot,5 Seconds Of Summer,rock,intense,0.955,121,0.198,0.52,0.001
327,Amnesia,5 Seconds Of Summer,rock,chill,0.499,125,0.109,0.58,0.028
328,Babylon,5 Seconds Of Summer,rock,chill,0.885,119,0.499,0.528,0.002
329,Beside You,5 Seconds Of Summer,rock,chill,0.719,155,0.441,0.604,0.004
330,Best Years,5 Seconds Of Summer,rock,chill,0.723,170,0.463,0.299,0.314
331,Better Man,5 Seconds Of Summer,rock,chill,0.864,122,0.535,0.686,0.067
332,Castaway,5 Seconds Of Summer,rock,happy,0.903,162,0.767,0.545,0.001
333,Close As Strangers,5 Seconds Of Summer,rock,intense,0.797,155,0.342,0.474,0.022
334,Complete Mess,5 Seconds Of Summer,rock,chill,0.52,112,0.134,0.404,0.057
335,Daylight,5 Seconds Of Summer,rock,chill,0.794,159,0.489,0.522,0.005
336,Disconnected,5 Seconds Of Summer,rock,happy,0.892,124,0.701,0.633,0.12
337,Easier,5 Seconds Of Summer,rock,uplifting,0.46,172,0.63,0.57,0.476
338,Empty Wallets,5 Seconds Of Summer,rock,chill,0.71,180,0.446,0.599,0.012
339,End Up Here,5 Seconds Of Summer,rock,intense,0.984,157,0.416,0.508,0.017
340,English Love Affair,5 Seconds Of Summer,rock,happy,0.861,155,0.879,0.537,0.013
341,Ghost Of You,5 Seconds Of Summer,rock,chill,0.562,155,0.208,0.465,0.097
342,Good Girls,5 Seconds Of Summer,rock,chill,0.916,150,0.563,0.539,0.013
343,Gotta Get Out,5 Seconds Of Summer,rock,intense,0.891,154,0.232,0.582,0.005
344,Heartache On The Big Screen,5 Seconds Of Summer,rock,happy,0.804,140,0.787,0.696,0.002
345,Heartbreak Girl,5 Seconds Of Summer,rock,happy,0.79,166,0.692,0.478,0.001
346,High,5 Seconds Of Summer,rock,dreamy,0.586,168,0.604,0.477,0.784
347,If Walls Could Talk,5 Seconds Of Summer,rock,chill,0.791,138,0.505,0.596,0.009
348,Independence Day,5 Seconds Of Summer,rock,happy,0.934,173,0.709,0.394,0.001
349,Jet Black Heart,5 Seconds Of Summer,rock,chill,0.851,158,0.551,0.514,0.0
350,Just Saying,5 Seconds Of Summer,rock,happy,0.883,177,0.681,0.444,0.001
351,Kill My Time,5 Seconds Of Summer,rock,intense,0.951,174,0.386,0.503,0.013
